souid;date;hu;q_hu
116438;20220430;60;0
116438;20220429;65;0
116438;20220428;64;0
116438;20220427;64;0
116438;20220426;61;0
116438;20220425;72;0
116438;20220424;60;0
116438;20220423;68;0
116438;20220422;65;0
116438;20220421;58;0
116438;20220420;60;0
116438;20220419;63;0
116438;20220418;59;0
116438;20220417;55;0
116438;20220416;68;0
116438;20220415;64;0
116438;20220414;72;0
116438;20220413;76;0
116438;20220412;74;0
116438;20220411;56;0
116438;20220410;58;0
116438;20220409;61;0
116438;20220408;64;0
116438;20220407;62;0
116438;20220406;78;0
116438;20220405;73;0
116438;20220404;81;0
116438;20220403;62;0
116438;20220402;70;0
116438;20220401;63;0
116438;20090630;57;0
116438;20090629;58;0
116438;20090628;67;0
116438;20090627;72;0
116438;20090626;74;0
116438;20090625;64;0
116438;20090624;57;0
116438;20090623;48;0
116438;20090622;66;0
116438;20090621;65;0
116438;20090620;70;0
116438;20090619;60;0
116438;20090618;66;0
116438;20090617;70;0
116438;20090616;63;0
116438;20090615;59;0
116438;20090614;60;0
116438;20090613;72;0
116438;20090612;62;0
116438;20090611;60;0
116438;20090610;82;0
116438;20090609;82;0
116438;20090608;73;0
116438;20090607;74;0
116438;20090606;78;0
116438;20090605;75;0
116438;20090604;57;0
116438;20090603;57;0
116438;20090602;48;0
116438;20090601;57;0
116438;20090531;63;0
116438;20090530;56;0
116438;20090529;65;0
116438;20090528;75;0
116438;20090527;85;0
116438;20090526;70;0
116438;20090525;68;0
116438;20090524;56;0
116438;20090523;56;0
116438;20090522;66;0
116438;20090521;65;0
116438;20090520;70;0
116438;20090519;73;0
116438;20090518;72;0
116438;20090517;80;0
116438;20090516;70;0
116438;20090515;85;0
116438;20090514;80;0
116438;20090513;87;0
116438;20090512;59;0
116438;20090511;58;0
116438;20090510;62;0
116438;20090509;65;0
116438;20090508;66;0
116438;20090507;79;0
116438;20090506;69;0
116438;20090505;72;0
116438;20090504;68;0
116438;20090503;54;0
116438;20090502;66;0
116438;20090501;69;0
116438;20090430;74;0
116438;20090429;68;0
116438;20090428;80;0
116438;20090427;87;0
116438;20090426;62;0
116438;20090425;59;0
116438;20090424;56;0
116438;20090423;66;0
116438;20090422;63;0
116438;20090421;61;0
116438;20090420;68;0
116438;20090419;73;0
116438;20090418;71;0
116438;20090417;93;0
116438;20090416;84;0
116438;20090415;74;0
116438;20090414;72;0
116438;20090413;74;0
116438;20090412;93;0
116438;20090411;94;0
116438;20090410;87;0
116438;20090409;85;0
116438;20090408;67;0
116438;20090407;69;0
116438;20090406;65;0
116438;20090405;62;0
116438;20090404;64;0
116438;20090403;87;0
116438;20090402;77;0
116438;20090401;67;0
116438;20090331;65;0
116438;20090330;69;0
116438;20090329;66;0
116438;20090328;76;0
116438;20090327;71;0
116438;20090326;75;0
116438;20090325;71;0
116438;20090324;58;0
116438;20090323;73;0
116438;20090322;70;0
116438;20090321;68;0
116438;20090320;69;0
116438;20090319;75;0
116438;20090318;67;0
116438;20090317;78;0
116438;20090316;72;0
116438;20090315;68;0
116438;20090314;68;0
116438;20090313;80;0
116438;20090312;86;0
116438;20090311;80;0
116438;20090310;81;0
116438;20090309;69;0
116438;20090308;76;0
116438;20090307;80;0
116438;20090306;72;0
116438;20090305;77;0
116438;20090304;77;0
116438;20090303;88;0
